NVDA,MSFT,IBM,HPE,GOOG,FLEX,TSLA,SNE,ORCL
0.73077732,0.674232005,0.378471192,0.834836236,0.695739906,0.704805492,0.918037547,0.746049256,0.79398657
0.769379855,0.663437679,0.399688041,0.834836236,0.70265615,0.721967849,0.876393375,0.725101113,0.824053442
0.759899455,0.671187416,0.426053142,0.822942098,0.698888656,0.709382265,0.883603382,0.737963957,0.841870815
0.770636953,0.656518221,0.422620974,0.801136073,0.687289855,0.700228833,0.84291218,0.732818826,0.856904279
0.743714687,0.659562782,0.41497659,0.807083205,0.705428104,0.724256293,0.755065742,0.718485861,0.831291806
0.739891038,0.668419688,0.428237214,0.826906853,0.70661221,0.739130549,0.728877502,0.751561861,0.853006729
0.72894406,0.67174089,0.418408743,0.822942098,0.705724088,0.704805492,0.745037921,0.764792328,0.840200492
0.729467871,0.681151463,0.412480428,0.822942098,0.735407422,0.739130549,0.793104908,0.761117245,0.860801774
0.719096983,0.684472886,0.424649133,0.826906853,0.715385348,0.830663616,0.790577182,0.772877627,0.869153779
0.72894406,0.709106128,0.42917322,0.832853986,0.752280749,0.818077803,0.829486621,0.754869469,0.909242701
0.715063933,0.712980997,0.442121754,0.859615828,0.760085115,0.826086842,0.811875881,0.732083766,0.909242701
0.743976514,0.696650966,0.439001676,0.855651073,0.839850495,0.829519451,0.823975425,0.747886816,0.886414192
0.733972381,0.701909837,0.45600631,0.872501282,0.819882131,0.790617849,0.765466351,0.755237054,0.888641419
0.738162555,0.713811304,0.465054703,0.861598206,0.807045511,0.798626888,0.771764859,0.748621839,0.907015696
0.74837632,0.703847285,0.463026544,0.838800991,0.814419206,0.813501259,0.752455188,0.746049256,0.899777333
0.745233611,0.688347755,0.563962599,0.787259557,0.799644881,0.795194622,0.764803342,0.739066456,0.869153779
0.732662932,0.689731508,0.548517902,0.79518894,0.767404933,0.799771167,0.728877502,0.730246243,0.868596875
0.737167442,0.673955172,0.567706826,0.791224185,0.774321177,0.798626888,0.762897275,0.73355385,0.875278501
0.728210774,0.646000506,0.558190446,0.781312424,0.75055838,0.770022769,0.744789311,0.718118276,0.863585683
0.731877216,0.628840389,0.559282364,0.751576888,0.741597008,0.778031922,0.770107278,0.715545729,0.869153779
0.709249979,0.596733994,0.551326124,0.7505857,0.704620794,0.766590503,0.76057681,0.683204606,0.837416583
0.719096983,0.596457354,0.554914205,0.746621072,0.701149121,0.755148741,0.714291587,0.657478917,0.822939857
0.684370448,0.582064771,0.547425968,0.733735618,0.673672704,0.739130549,0.702564959,0.644248451,0.807906392
0.672952011,0.557431528,0.53837759,0.720850291,0.64164809,0.71624714,0.684374042,0.635060653,0.780066747
0.636601697,0.571547278,0.558814361,0.76644472,0.655157658,0.726544622,0.760038107,0.649393581,0.81403117
0.619421732,0.54636034,0.588611616,0.739682751,0.620145922,0.733409611,0.865826856,0.658948855,0.808463352
0.617169516,0.567395548,0.561310524,0.73175324,0.647137953,0.74141865,0.90307871,0.658948855,0.851893088
0.59768491,0.555217246,0.565990758,0.737700373,0.671519661,0.744851259,0.899515188,0.662256462,0.855233956
0.625078562,0.591475344,0.584555532,0.762479965,0.732608533,0.779176087,0.942982597,0.683939666,0.89253897
0.636182663,0.575145313,0.575663067,0.722832669,0.697193226,0.758581121,0.906227967,0.672914345,0.88585751
0.662738325,0.61168005,0.583151304,0.753559266,0.764310224,0.816933524,0.968880744,0.676956976,0.891982288
0.63565893,0.630500976,0.565678683,0.757524021,0.800156205,0.827231007,0.993577309,0.671076785,0.896993424
0.664833412,0.604207119,0.570202755,0.740673939,0.777281529,0.805492105,0.990096486,0.667034154,0.860801774
0.673632951,0.604483759,0.560686358,0.729770863,0.783632575,0.812356979,0.964364124,0.657111295,0.639755158
0.697412508,0.594519933,0.578783145,0.736709184,0.759896716,0.78718524,0.947126301,0.657846356,0.612472194
0.703174115,0.621090624,0.57706706,0.744638567,0.778034962,0.802059497,0.937015655,0.675486892,0.606347473
0.690708134,0.597010827,0.585491538,0.72184148,0.73069793,0.763157895,0.943645606,0.627342939,0.570712727
0.691912885,0.5942431,0.567394751,0.724814919,0.737506427,0.779176087,0.959971807,0.631017985,0.547884218
0.662057385,0.604483759,0.560998449,0.746621072,0.760246578,0.782608696,0.982016343,0.61742008,0.555122581
0.665985732,0.615001473,0.567862755,0.760497588,0.767351221,0.78718524,0.962499532,0.613377449,0.564588005
0.662581196,0.590921677,0.582371226,0.757524021,0.739094268,0.788329405,0.892305185,0.617052495,0.557349586
0.660905065,0.605867734,0.565522755,0.771400536,0.757743838,0.85812357,0.885302313,0.614112473,0.567371914
0.653415053,0.650982516,0.534321506,0.777347669,0.848112145,0.860411899,0.937844446,0.647923497,0.589086781
0.651477095,0.663160817,0.516848651,0.77635648,0.841465111,0.850114416,0.894957089,0.646085974,0.587973418
0.705635884,0.66675888,0.538533503,0.775365292,0.82970485,0.866132723,0.866779954,0.656743857,0.599666013
0.648962895,0.660116256,0.539157668,0.788250746,0.848838806,0.870709497,0.843865277,0.639838198,0.616926426
0.639639624,0.645723866,0.533541428,0.812039149,0.827094362,0.891304462,0.812911807,0.642778367,0.602449922
0.643148942,0.599778555,0.543213737,0.823933159,0.803816113,0.890160297,0.815066487,0.597206814,0.609688286
0.620259795,0.592582264,0.542589821,0.951795875,0.798191561,0.850114416,0.81771852,0.601249482,0.587416458
0.624031018,0.608358849,0.528549119,0.955760502,0.827847959,0.848970252,0.793229215,0.596104351,0.589086781
0.623978666,0.595903686,0.540405734,0.953778125,0.815979948,0.815789359,0.751957964,0.60345459,0.580178095
0.626702263,0.586493334,0.551482052,0.954769314,0.81078607,0.83524016,0.717523671,0.584711408,0.576837504
0.610831746,0.562967012,0.54071759,0.961707635,0.771549391,0.818077803,0.690133848,0.579198803,0.556236223
0.592080432,0.56047609,0.533229353,0.956751691,0.755025761,0.789473684,0.663779827,0.561925705,0.541202758
0.593704211,0.554110105,0.542745734,0.94981337,0.736295379,0.800915332,0.690672551,0.561190681,0.545100309
0.585637964,0.533075092,0.532449275,0.924042589,0.715170011,0.764302059,0.69266145,0.565968373,0.527282936
0.595432616,0.533628565,0.513728573,0.948822181,0.705024365,0.717391304,0.701901954,0.553472968,0.519487668
0.580243039,0.527262775,0.516068573,0.950804558,0.67644449,0.731121167,0.67310316,0.554943052,0.522828537
0.564896334,0.580681017,0.55897029,0.981531283,0.739363317,0.78718524,0.718269633,0.558985683,0.58184864
0.536874094,0.553556632,0.525116966,0.969637018,0.723431824,0.737986384,0.713587227,0.554943052,0.583518963
0.584485643,0.552172657,0.507332254,0.958734196,0.710352768,0.709382265,0.750590472,0.561925705,0.570156045
0.571391153,0.554386939,0.511700414,0.956751691,0.705993138,0.735697941,0.743504772,0.56339579,0.574610277
0.537764509,0.577913068,0.521060882,0.970628206,0.701095408,0.640732265,0.752289402,0.563763228,0.595211559
0.530483978,0.570440137,0.534477434,0.948822181,0.710218244,0.630434783,0.735880373,0.556780575,0.59242765
0.503195066,0.567672381,0.548829977,0.959725257,0.715950382,0.624713959,0.677578431,0.547592777,0.596882049
0.407081516,0.569332996,0.580343301,0.953778125,0.696654966,0.609839817,0.682385143,0.533627287,0.59799569
0.406191064,0.564074152,0.642745798,0.945848742,0.708845736,0.608695652,0.628972742,0.526644597,0.591870913
