AAPL,TXN,QCOM,INTC,HON,GOOG,AVGO,DUK,CMS
0.697671731,0.663378607,0.509399245,0.335805208,0.763315486,0.814419206,0.856584602,0.632497303,0.626840054
0.698486539,0.663378607,0.49133813,0.334216119,0.742973948,0.799644881,0.834749795,0.623773418,0.614718495
0.706402813,0.653103226,0.497604183,0.331038259,0.744457049,0.767404933,0.823212043,0.615049153,0.606060659
0.695459834,0.660090403,0.510505106,0.342161088,0.756535086,0.774321177,0.831089898,0.604689118,0.597402822
0.689406237,0.630086313,0.489126519,0.318856108,0.745940447,0.75055838,0.812604722,0.579062449,0.580086717
0.683352629,0.629675216,0.488020769,0.319385663,0.734074493,0.741597008,0.807083973,0.612323089,0.609523949
0.668568126,0.599260173,0.455952981,0.301906743,0.722420327,0.704620794,0.772780894,0.568702414,0.568831218
0.644936009,0.593916934,0.467379337,0.287606106,0.732379309,0.701149121,0.778239644,0.56924778,0.57056282
0.642491237,0.587751788,0.456690025,0.299788257,0.720301272,0.673672704,0.764902946,0.581788458,0.584415635
0.637019747,0.554459515,0.436048777,0.286546731,0.704409313,0.64164809,0.736492784,0.570338129,0.580086717
0.62677522,0.555487115,0.460376092,0.324152613,0.713520872,0.655157658,0.715216236,0.574700289,0.589610527
0.609895163,0.545211734,0.441946308,0.277542388,0.711613922,0.620145922,0.703740483,0.575790638,0.606060659
0.625727525,0.555898048,0.451898391,0.292373056,0.702714128,0.647137953,0.724148697,0.591057708,0.627705682
0.61885912,0.555281566,0.446738088,0.281779782,0.682160825,0.671519661,0.730289694,0.615049153,0.634632263
0.624912717,0.579120366,0.486546349,0.316737411,0.717123007,0.732608533,0.773773413,0.666303362,0.658008542
0.620954498,0.556309001,0.459638864,0.287606106,0.695085988,0.697193226,0.738291735,0.706106861,0.694372354
0.645983704,0.584258056,0.501290214,0.309851764,0.723267771,0.764310224,0.784318647,0.7606325,0.741125692
0.621536605,0.610357604,0.514191026,0.316207644,0.717546877,0.800156205,0.79988837,0.720283636,0.719480668
0.645867348,0.599465721,0.497972853,0.325211988,0.719242062,0.777281529,0.792320589,0.73773184,0.746320324
0.651222318,0.61220709,0.49281255,0.336864584,0.723055984,0.783632575,0.799019938,0.75354433,0.754112533
0.643655451,0.610152055,0.509767915,0.35169504,0.737040992,0.759896716,0.767198151,0.772083265,0.780952449
0.64644928,0.648170921,0.539992762,0.386122849,0.756746852,0.778034962,0.774393666,0.77099248,0.775757556
0.63643764,0.612823592,0.510873665,0.37023307,0.731108016,0.73069793,0.743998565,0.78462389,0.80086587
0.65192077,0.620632984,0.514928218,0.375529787,0.727717646,0.737506427,0.754791972,0.774263909,0.786147427
0.604540193,0.622277086,0.517876909,0.387182224,0.722844197,0.760246578,0.770609776,0.73991292,0.756710195
0.628055778,0.639334094,0.537412592,0.405720466,0.726022462,0.767351221,0.785497246,0.71973827,0.716017378
0.638183961,0.640567242,0.53556965,0.397775498,0.702078492,0.739094268,0.783822387,0.701745137,0.694372354
0.65483113,0.637484607,0.519351329,0.396716123,0.713308767,0.757743838,0.787978445,0.707197592,0.690909151
0.641210666,0.7081791,0.558791068,0.437500076,0.708223553,0.848112145,0.85999632,0.688658656,0.685714172
0.682654178,0.678380559,0.537043922,0.425847427,0.690636409,0.841465111,0.855840262,0.727371805,0.737662402
0.752619351,0.664611591,0.561739907,0.418961993,0.691060279,0.82970485,0.853234977,0.712104735,0.720346383
